ID,sort order,company,name,video,youtube url,image,brochure,brochure file name,description,created at
44,0,EGEM'DEN,Save the nature ,,,static/users/other_I5YrH7c,,,As company every year we are plating trees for saving the nature. ,23/07/2021
43,11,,hjgj,,,static/users/other_P92Kk7y,,,ghj,23/07/2021
42,3,,dfgd,static/users/other_RNCOHL1,,static/users/other_3F0oHuS,,,fd,23/07/2021
41,2,,ew,static/users/other_a5ZinWD,,,,,we,23/07/2021
40,1,,fgh,static/users/other_s9HQAgf,,,,,fgh,23/07/2021
39,0,,gdf,static/users/other_6ATKjNE,http://testing-dashboard.koytola.com/profile/,,,,dfgdf,23/07/2021
38,10,,baba back,static/users/other_g95pOVP,http://testing-dashboard.koytola.com/profile/,static/users/other_ymd4xMY,static/users/other_RWlvWCm,,ok bye,22/07/2021
37,9,,okj  hgbbb,,http://testing-dashboard.koytola.com/profile/,static/users/other_D4Tgkon,,,fghf,22/07/2021
36,8,,ewty;llk;,,http://testing-dashboard.koytola.com/profile/,,static/users/other_dJgyK56,,ghjghikj,22/07/2021
35,7,,dfgdfg,static/users/other_olbvbnp,http://testing-dashboard.koytola.com/profile/,,,,dfgdfg,22/07/2021
34,6,,dfgdsg,static/users/other_e3DhraV,,,,,dfgdfg,22/07/2021
33,5,,dfdf,,http://testing-sitefront.koytola.com/product/fresh-fruit/banana,,,,dfgdfg,22/07/2021
32,4,,dfgdg,,,,static/users/other_LZ9SqzO,,dfgd,22/07/2021
31,0,Rastgele SurfBoards,Teach Them Young,,https://rastgelesurf.co/,static/users/other_8vddRT8,,,We are giving free classes for kids ,22/07/2021
30,0,,as,,,static/users/other_7QdqLT3,,,asasx cdfgds vdfg vedgd vgedfg vbgeg egewg fgreg vbg  fdg,21/07/2021
29,3,,sd,,,static/users/other_c4GIJZU,,,sadsad,21/07/2021
28,1,Arbel,Turkey Show,,,static/users/other_NbgVC3q,static/users/other_yAJOPbb,,New show&nbsp;,20/07/2021
27,2,,iok test,,,static/users/other_WHWsIgf,static/users/other_p0yxa4F,,dffgjbh fghdidfgdfgdfg,20/07/2021
26,0,Arbel,Social Event,,,static/users/other_PtBkLrK,,,social links,19/07/2021
25,1,,testing baba,static/users/other_8Tx90DD,,static/users/other_ZK5H6ui,,,ok testing,19/07/2021
24,0,,dg,,,static/users/other_fdM9ZFK,,,"ghdfg<h1>dfgd</h1><div>dghbdfkj</div><div>dfhjgbidukjfng</div><div>fdg<i>hjbdfiukj</i></div><div style=""text-align: justify;""><i>dgdf</i></div><p style=""text-align: justify;""><i>dybuetrg78e jhgdfgdfgfdgdfgdfgdfgdfdfgfddfuyhg</i></p>",19/07/2021
23,1,Kimil Tekstil A.S.,Sustainability,,http://www.kimil.com.tr/en/sustainability.aspx,,,,"<div class=""section-icon wow fadeInLeft"" data-wow-duration=""1s"" data-wow-delay=""0.5s"" style=""visibility: visible; animation-duration: 1s; animation-delay: 0.5s; animation-name: fadeInLeft;"">
                        Kimil
 Tekstil is one of the leading home textile manufacturers and 
sustainability is its leading responsibility. One of the most important 
targets of Kimil Tekstil is applying all steps of sustainability with 
all its aspects including environment, society and economy within the 
company.

                    </div>
                    <p class=""wow fadeInLeft"" data-wow-duration=""1s"" data-wow-delay=""0.5s"" style=""visibility: visible; animation-duration: 1s; animation-delay: 0.5s; animation-name: fadeInLeft;"">Ensuring
 the sustainability of its high-quality understanding, focusing on 
customer needs and being reliable both in its products and production 
processes are among Kimil Tekstil’s basic targets. Kimil Tekstil pays 
effort to fulfil and apply sustainability with full details in all its 
production and management processes from raw material to the final 
product.</p>

                    
                    <p class=""wow fadeInLeft"" data-wow-duration=""1s"" data-wow-delay=""0.5s"" style=""visibility: visible; animation-duration: 1s; animation-delay: 0.5s; animation-name: fadeInLeft;"">Kimil
 Tekstil utilizes environmentally sensitive production processes which 
do not risk human health in its activities to contribute the economy for
 the sake of a clean future. Besides, adding value to its employees and 
the society is one of the most important principles of Kimil Tekstil 
with its conscious about its responsibilities.</p>

                    
                    <p class=""wow fadeInLeft"" data-wow-duration=""1s"" data-wow-delay=""0.5s"" style=""visibility: visible; animation-duration: 1s; animation-delay: 0.5s; animation-name: fadeInLeft;"">Kimil
 Tekstil is proud of its Oeko-Tex® Step certification and using Made in 
Green label on its products. Kimil Tekstil can make production for its 
customers who ask for organic products with its GOTS certificate as 
well.<br></p><p class=""wow fadeInLeft"" data-wow-duration=""1s"" data-wow-delay=""0.5s"" style=""visibility: visible; animation-duration: 1s; animation-delay: 0.5s; animation-name: fadeInLeft;"">Moreover,
 Kimil Tekstil can provide high level products and services with the 
BSCI document for social responsibility and environmental health and 
occupational safety.</p>",15/07/2021
22,0,Kimil Tekstil A.S.,Education & Health,,http://www.kimil.com.tr/en/social-responsibility.aspx,,,,"Kimil Tekstil, besides its manufacturer identity, conducts various 
social responsibility activities that will contribute the society, 
especially in education and health in Denizli and Güney district of 
Denizli, where the roots of the founder family lie. Kimil Tekstil aims 
at contributing the social aspect of sustainability",15/07/2021
21,0,Ecrin Food ,,,https://ecringida.com.tr/en/we-are-proud-of-being-secular-to-the-stars-of-export-award/,,,,,14/07/2021
20,0,Lia Fruit ,Lia Fruit Supports Farmers,,http://www.gazetevatan.com/koy-okullari-acilacak-mi-ne-zaman-acilacak-koy-okullarinda-yuz--1346352-egitim/,static/users/other_f6WcfTI,,,"As Lia Fruit, We are supporting fair trade and we created an organization&nbsp; for&nbsp; supporting children of farmers for their education tuition.&nbsp;",13/07/2021
17,0,,sadsa,,,static/users/other_qXwiAZ2,,,ok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok backok back,07/07/2021
16,0,,Helping Farmers ,,https://www.cnnturk.com/turkiye/700-kilometre-pedal-cevirecek,,,,As Zanobia Family we are helping farmers in need.&nbsp;,06/07/2021
13,0,,fds,,,static/users/other_41hZQsB,,,vfsvd,25/06/2021
9,0,omi,oh,,,static/users/other_AQAGbmK,,,hi,25/06/2021
8,3,,dfv,,,static/users/other_4byCkVj,,,fgdg,25/06/2021
7,0,oo,bn,,,static/users/other_WoYqAib,,,mnm,19/06/2021
6,0,,dfs,,,static/users/other_cX1QzAJ,,,fds,19/06/2021
5,2,,fd,,,static/users/other_knw6lOz,,,dfv,18/06/2021
4,1,, bvdf,,,static/users/other_tvJOw8l,,,dfgd,18/06/2021
3,0,, bvdf,,,static/users/other_m9KgYqQ,,,dfgd,18/06/2021
2,1,ooo,ok,,http://testing-dashboard.koytola.com/profile/,,,,nmb m,18/06/2021
1,0,ooo,nbvbn,,http://testing-dashboard.koytola.com/profile/,,,,nmb m nnn,18/06/2021
