ID,product,image,ppoi,alt text,index,order
3976,apple,products/test_zKnquDm.jpg,"(0.5, 0.5)",,,1
3975,apple,products/download_2_Hvks2C3.jpg,"(0.5, 0.5)",,,1
2362,dog-food,products/Screen_Shot_2021-07-27_at_12.27.01_PM.png,"(0.5, 0.5)",,,1
2357,anise-seed,products/tamara-gak-iwo-ItMFK0A-unsplash.jpg,"(0.5, 0.5)",,,1
2356,cumin-seeds,products/IMG_2790.jpg,"(0.5, 0.5)",,,1
2355,turkish-coffee,products/günbak-doypack-kahve.png,"(0.5, 0.5)",,,1
2354,pine-wood-mug,products/Screen_Shot_2021-07-26_at_4.07.20_PM.png,"(0.5, 0.5)",,,1
2353,wood-mug,products/Screen_Shot_2021-07-26_at_3.45.40_PM.png,"(0.5, 0.5)",,,1
2352,foot-file,products/WhatsApp-Image-2020-11-20-at-9.19.20-PM-1-150x150.jpg,"(0.5, 0.5)",,,1
2351,foot-file,products/4-2-150x150.jpg,"(0.5, 0.5)",,,1
2350,foot-file,products/WhatsApp-Image-2020-11-20-at-9.21.07-PM-1-150x150.jpg,"(0.5, 0.5)",,,1
2347,sour-cherry-juice-concentrate-juice,products/Screen_Shot_2021-07-23_at_12.23.29_PM.png,"(0.5, 0.5)",,,1
2346,apricot-puree-concentrate-packed-in-drums,products/Screen_Shot_2021-07-23_at_12.12.55_PM.png,"(0.5, 0.5)",,,1
2345,diced-apricots-sulphured,products/Screen_Shot_2021-07-23_at_12.06.52_PM.png,"(0.5, 0.5)",,,1
2344,dried-apricot,products/Screen_Shot_2021-07-23_at_12.01.47_PM.png,"(0.5, 0.5)",,0,1
2343,dried-apricot,products/Screen_Shot_2021-07-23_at_11.55.06_AM.png,"(0.5, 0.5)",,1,1
2342,organic-an-natural-apricots,products/turkel-malatya-apricots-natural-wood-tray.png,"(0.5, 0.5)",,,1
2341,dried-malatya-apricots,products/turkel-malatya-apricots-pvc-tray.png,"(0.5, 0.5)",,,1
2340,early-harvest-extra-virgin-olive-oil,products/Screen_Shot_2021-07-23_at_9.47.29_AM.png,"(0.5, 0.5)",,0,1
2339,early-harvest-extra-virgin-olive-oil,products/Screen_Shot_2021-07-23_at_9.47.46_AM.png,"(0.5, 0.5)",,1,1
2338,natural-extra-virgin-olive-oil,products/Screen_Shot_2021-07-23_at_9.41.21_AM.png,"(0.5, 0.5)",,,1
2337,natural-extra-virgin-olive-oil,products/Screen_Shot_2021-07-23_at_9.41.07_AM.png,"(0.5, 0.5)",,,1
2331,surf-board,products/Screen_Shot_2021-07-22_at_1.46.29_PM.png,"(0.5, 0.5)",,,1
2330,surf-board,products/Screen_Shot_2021-07-22_at_1.48.19_PM.png,"(0.5, 0.5)",,,1
2329,surf-board,products/Screen_Shot_2021-07-22_at_1.46.14_PM.png,"(0.5, 0.5)",,,1
2328,surf-board,products/1571157943426.jpeg,"(0.5, 0.5)",,,1
2327,surf-board,products/Screen_Shot_2021-07-22_at_1.48.40_PM.png,"(0.5, 0.5)",,,1
2326,surf-board,products/Screen_Shot_2021-07-22_at_1.48.02_PM.png,"(0.5, 0.5)",,,1
1904,popcorn,products/Screen_Shot_2021-07-20_at_9.37.39_PM.png,"(0.5, 0.5)",,,1
1903,mash-beans,products/Screen_Shot_2021-07-20_at_9.35.59_PM.png,"(0.5, 0.5)",,,1
1902,bulgur,products/Screen_Shot_2021-07-20_at_9.02.27_PM.png,"(0.5, 0.5)",,,1
1897,whole-carob,products/08_11_13_11900_57cb2407e461012e5312db8dad76aefa.jpg,"(0.5, 0.5)",,,1
